pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,PromissoryNoteAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:39.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PROMISSORYNOTEAMOUNT #20201228T214939.346 GMT
NFCU-Data-ACCT-Account-Len,LoanOriginationFeeAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:26.1,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANORIGINATIONFEEAMOUNT #20201228T214926.077 GMT
NFCU-Data-ACCT-Account-Len,ModLoanRepayTermMonthCount,String,NULL,Integer,NFCU-Data-Account:01-01-01,49:28.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MODLOANREPAYTERMMONTHCOUNT #20201228T214928.883 GMT
NFCU-Data-ACCT-Account-Len,FirstPaymentDueDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:41.8,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FIRSTPAYMENTDUEDATE #20211122T223041.848 GMT
NFCU-Data-ACCT-Account-Len,CurrentLoanTerm,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:46.9,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTLOANTERM #20221223T191946.869 GMT
NFCU-Data-ACCT-Account-Len,QuarterToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:41.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEORIGINATIONFEE #20201228T214941.352 GMT
NFCU-Data-ACCT-Account-Len,CalculatedMaturityDate,String,NULL,Date,NFCU-Data-Account:01-01-14,39:43.8,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CALCULATEDMATURITYDATE #20230206T213943.824 GMT
NFCU-Data-ACCT-Account-Len,QuarterToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:41.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEINTERESTINCOME #20201228T214941.051 GMT
NFCU-Data-ACCT-Account-Len,MonthToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:29.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MONTHTODATEORIGINATIONFEE #20201228T214929.721 GMT
NFCU-Data-ACCT-Account-Len,RemainingTerm,String,NULL,Integer,NFCU-Data-Account:01-01-03,30:49.5,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REMAININGTERM #20211122T223049.510 GMT
NFCU-Data-ACCT-Account-Len,AddressPageList,PageList,NFCU-Data-LOCN-Address,Text,NFCU-Data-Account:01-01-10,18:03.3,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ADDRESSPAGELIST #20221125T171803.263 GMT
NFCU-Data-ACCT-Account-Len,YearToDateFeesAssessed,String,NULL,Integer,NFCU-Data-Account:01-01-03,30:50.0,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEFEESASSESSED #20211122T223049.969 GMT
NFCU-Data-ACCT-Account-Len,CurrentPaymentOutstandingBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:39.0,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTPAYMENTOUTSTANDINGBALANCE #20211122T223038.973 GMT
NFCU-Data-ACCT-Account-Len,IsVla,String,NULL,Text,NFCU-Data-Account:01-01-10,18:04.8,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ISVLA #20221125T171804.794 GMT
NFCU-Data-ACCT-Account-Len,PayOffAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:35.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYOFFAMOUNT #20201228T214934.981 GMT
NFCU-Data-ACCT-Account-Len,AdditionalInfo,String,NULL,Text,NFCU-Data-Account:01-01-10,18:02.8,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ADDITIONALINFO #20221125T171802.752 GMT
NFCU-Data-ACCT-Account-Len,IsLpr20,String,NULL,Text,NFCU-Data-Account:01-01-10,18:04.4,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ISLPR20 #20221125T171804.408 GMT
NFCU-Data-ACCT-Account-Len,RiskMitigationActionType,String,NULL,Text,NFCU-Data-Account:01-01-01,49:46.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN RISKMITIGATIONACTIONTYPE #20201228T214946.298 GMT
NFCU-Data-ACCT-Account-Len,DisbursementType,String,NULL,Text,NFCU-Data-Account:01-01-01,49:10.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DISBURSEMENTTYPE #20201228T214910.377 GMT
NFCU-Data-ACCT-Account-Len,PayOffEffectiveDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:48.7,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYOFFEFFECTIVEDATE #20211122T223048.736 GMT
NFCU-Data-ACCT-Account-Len,PartyPageList,PageList,NFCU-Data-PTY-Party-Person,Text,NFCU-Data-Account:01-01-03,30:47.9,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PARTYPAGELIST #20211122T223047.922 GMT
NFCU-Data-ACCT-Account-Len,GapInd,String,NULL,Text,NFCU-Data-Account:01-01-24,21:17.0,Savitha Dwaram,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN GAPIND #20230530T212117.013 GMT
NFCU-Data-ACCT-Account-Len,MonthToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:29.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MONTHTODATEINTERESTINCOME #20201228T214929.446 GMT
NFCU-Data-ACCT-Account-Len,OriginalDisbursementAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:32.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ORIGINALDISBURSEMENTAMOUNT #20201228T214932.936 GMT
NFCU-Data-ACCT-Account-Len,PaymentFrequencyDue,String,NULL,Text,NFCU-Data-Account:01-01-01,49:34.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYMENTFREQUENCYDUE #20201228T214934.698 GMT
NFCU-Data-ACCT-Account-Len,CurrentPaymentInterestDueAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:38.2,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTPAYMENTINTERESTDUEAMOUNT #20211122T223038.190 GMT
NFCU-Data-ACCT-Account-Len,ClosingDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:37.1,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CLOSINGDATE #20211122T223037.087 GMT
NFCU-Data-ACCT-Account-Len,AnnualInterestRate,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:36.4,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ANNUALINTERESTRATE #20211122T223036.436 GMT
NFCU-Data-ACCT-Account-Len,CurrentOtherFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:30.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTOTHERFEE #20210209T223530.567 GMT
NFCU-Data-ACCT-Account-Len,CollateralPageList,PageList,NFCU-Data-AST-Asset,Text,NFCU-Data-Account:01-01-03,30:37.3,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN COLLATERALPAGELIST #20211122T223037.311 GMT
NFCU-Data-ACCT-Account-Len,BillingDuePageList,PageList,NFCU-Data-EVNT-Financial-Deposit,Text,NFCU-Data-Account:01-01-04,40:52.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN BILLINGDUEPAGELIST #20220701T204052.756 GMT
NFCU-Data-ACCT-Account-Len,CurrentLoanToValuePercent,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:37.7,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTLOANTOVALUEPERCENT #20211122T223037.687 GMT
NFCU-Data-ACCT-Account-Len,LifetimeFeeIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:22.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LIFETIMEFEEINCOME #20201228T214922.764 GMT
NFCU-Data-ACCT-Account-Len,CurrentAvailableCreditBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:06.1,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTAVAILABLECREDITBALANCE #20201228T214906.062 GMT
NFCU-Data-ACCT-Account-Len,YearToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:56.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEORIGINATIONFEE #20201228T214956.341 GMT
